Proclass,Supplier,Directorate,Cost Centre,Account Code,Transaction Date,Amount
Property Management,Squire Patton Boggs UK LLP,Place,Coventry City Centre Regeneration,Acquisition of Buildings,29/01/2021,-23879.46
Property Management,Squire Patton Boggs UK LLP,Place,Coventry City Centre Regeneration,Acquisition of Buildings,29/01/2021,630000
Waste Management,A & C Weber UK Ltd,Place,Administration Commercial,Acquisition of Plant & Equipment,06/01/2021,1034.9
Disabled Equipment,Arjo UK Limited,People,E & TS Disabled Facility Grant team,Acquisition of Plant & Equipment,30/12/2020,820
Waste Management,GJF Fabrications Ltd,Place,Administration Commercial,Acquisition of Plant & Equipment,03/12/2020,500
Waste Management,GJF Fabrications Ltd,Place,Administration Commercial,Acquisition of Plant & Equipment,07/10/2020,3450
Waste Management,GJF Fabrications Ltd,Place,Administration Commercial,Acquisition of Plant & Equipment,02/10/2020,6900
Waste Management,UK Container Maintenance Ltd,Place,Administration Commercial,Acquisition of Plant & Equipment,11/01/2021,4548.82
Waste Management,UK Container Maintenance Ltd,Place,Administration Commercial,Acquisition of Plant & Equipment,08/01/2021,9250
Vehicle Purchase,Cathedral Motor Company Ltd T/A Arbury Fleet,Place,Fleet Services,Acquisition of Vehicles,08/01/2021,27845.76
Vehicle Purchase,George Browns Ltd,Place,Fleet Services,Acquisition of Vehicles,19/11/2020,28125
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,-8000
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,-7889.88
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,-7593.31
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,-7593.31
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,7593.31
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,7593.31
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,7889.88
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,8000
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,24963.82
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,24963.82
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,25902.95
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,27/01/2021,26952.33
Vehicle Purchase,Greenhous Group Fleet,Place,Fleet Services,Acquisition of Vehicles,15/12/2020,13660.55
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Broad Lane,Agency Staff,21/01/2021,600.44
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Grayswood,Agency Staff,21/01/2021,717.87
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Broad Lane,Agency Staff,14/01/2021,554.18
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Grayswood,Agency Staff,14/01/2021,779.83
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Grayswood,Agency Staff,07/01/2021,866.98
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Broad Lane,Agency Staff,07/01/2021,1165.45
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Grayswood,Agency Staff,31/12/2020,742.06
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Broad Lane,Agency Staff,23/12/2020,772.54
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Grayswood,Agency Staff,23/12/2020,796.6
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Grayswood,Agency Staff,17/12/2020,678.1
Temporary & Agency Staff,Degree-Six Recruitment Ltd,People,Residential - Broad Lane,Agency Staff,17/12/2020,1101.19
Temporary & Agency Staff,Dr Keiron Pollitt t/a BP Psychology Ltd,People,Education Psychologists,Agency Staff,11/01/2021,1800
