Body,Body Name,Name,Amount,Pay Date,Transaction Number,Description 1,Description 2,Description 3
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Bristol Diocesan Board of Finance Limited,500,21/09/2020,30829631,Rent,CSSB (H): Combined Services, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Eastfield Maintenance Services,"9,333.00",21/09/2020,30829100,Rent,Security Services Overheads, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Eastfield Maintenance Services,550,21/09/2020,30829101,Rent,Security Services Overheads, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Network Rail Property,"22,057.50",21/09/2020,30829617,Rent,Waste Transfer Station, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,St Thomas Ecclesiastical Charity,"7,531.25",21/09/2020,30829103,Rent,Docks - Estate Services, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,The National Trust,"6,000.00",21/09/2020,30829615,Rent,Outdoor Education -Exmouth Camp, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,The Park Community Centre,"9,314.00",21/09/2020,30829410,Rent,Bristol Community Links Drop In Centres, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,UNITE RENT COLLECTION LTD COMM A/C,"20,000.00",21/09/2020,30829098,Rent,Y O T Resources, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,UNITE RENT COLLECTION LTD COMM A/C,"1,045.49",21/09/2020,30829099,Rent,Y O T Resources, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,West of England Combined Authority,"981,500.00",14/09/2020,30827925,TPP - Payments to Local Authorities,WECA Transport Levy, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Zurich Municipal,"65,000.00",04/09/2020,30826398,Insurance - General,Risk and Insurance, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,445.38,04/12/2020,92394250,TPP - Extra care Housing,MI South E - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,1284.75,04/12/2020,92394250,TPP - Extra care Housing,MI South D - Physical Support 65+, 
Bristol City council,http://data.ordnancesurvey.co.uk/doc/7000000000025523,Housing 21,445.38,04/12/2020,92394250,TPP - Extra care Housing,MI North C - Sensory Support 65+, 
